PROV_CODE,PROV_NAME,date,mean,min,max,stdDev
25800,Zamora,2018-01,0.5945738770505764,0.2524999976158142,100.48999786376952,2.332808894398106
25806,Barcelona,2018-01,7.327763944427172,0.2549999952316284,204.5500030517578,17.957653379068113
25807,Girona,2018-01,2.4716959524829547,0.25,111.29750061035156,7.124120271301741
25808,Lleida,2018-01,0.9887936445807244,0.2025000005960464,73.61750030517578,3.050534308488495
25809,Tarragona,2018-01,2.899354706744376,0.2775000035762787,186.989990234375,9.679486472200615
25810,Ceuta,2018-01,23.660332728713254,0.8324999809265137,114.0425033569336,29.70457566893253
25821,Melilla,2018-01,57.14159534862957,0.5274999737739563,222.12249755859372,55.64947859980207
25820,Madrid,2018-01,8.8681295585637,0.3224999904632568,251.3249969482422,18.835260932902223
25823,Navarra,2018-01,1.2860952500038711,0.2849999964237213,91.1875,3.598516393805077
25811,Alicante/Alacant,2018-01,6.472633254343417,0.3525000214576721,156.85000610351562,15.528247034808452
25812,Castellón/Castelló,2018-01,2.310275636721028,0.2725000083446502,243.4200134277344,9.7805644980977
25813,Valencia/València,2018-01,3.692464656685319,0.2349999994039535,228.95249938964844,11.992672810188555
25814,Badajoz,2018-01,0.7645563585591681,0.2150000035762787,86.9375,2.841882625159796
25815,Cáceres,2018-01,0.5761670710036817,0.2349999994039535,110.97000122070312,1.7722269193691422
25816,A Coruña,2018-01,1.5657553557674635,0.2975000143051147,59.98500061035156,3.4169707410335945
25817,Lugo,2018-01,0.7421655170599396,0.2450000047683715,63.29249954223633,1.8443887033919708
25818,Ourense,2018-01,0.8249043719432664,0.2574999928474426,42.11249923706055,1.5682405395438908
25819,Pontevedra,2018-01,2.255091231046477,0.3550000190734863,133.94500732421875,4.547260770800649
25788,Illes Balears,2018-01,2.972995808258153,0.2475000023841858,250.8000030517578,9.35613914903386
25827,La Rioja,2018-01,1.6802276303971162,0.2549999952316284,175.99249267578125,6.6766403191251165
25824,Araba/Álava,2018-01,2.2268436590233884,0.3224999904632568,129.67999267578125,8.102124655080107
25826,Bizkaia,2018-01,4.556481092585078,0.3949999809265136,109.96749877929688,10.592823993381662
25825,Gipuzkoa,2018-01,2.7640831844528453,0.3725000023841858,88.69000244140625,5.870670892307758
25787,Asturias,2018-01,1.6270484658621354,0.2449999898672104,273.36749267578125,5.838173829627372
25822,Murcia,2018-01,3.043228152092336,0.25,228.4949951171875,9.304830283162136
25776,Almería,2018-02,1.6044829774598326,0.1500000059604644,139.89500427246094,6.908089033861207
25777,Cádiz,2018-02,2.94742857307642,0.2125000059604644,234.5,13.019144453289224
25778,Córdoba,2018-02,1.1885261240516454,0.1475000083446502,160.72250366210938,5.832232141912909
25779,Granada,2018-02,1.2976336167495188,0.1199999973177909,131.1475067138672,5.542428182451329
25780,Huelva,2018-02,1.1798400344462383,0.1475000083446502,234.54998779296875,6.674016709922844
25781,Jaén,2018-02,1.1243872822490135,0.1299999952316284,173.81500244140625,4.937460592583621
25782,Málaga,2018-02,3.3277322572241395,0.2199999988079071,179.6925048828125,12.019192871135637
25783,Sevilla,2018-02,2.4295971371625464,0.1800000071525573,169.6875,9.928176507158014
25784,Huesca,2018-02,0.6267551163637672,0.1149999946355819,203.44500732421875,3.3488183605383406
25785,Teruel,2018-02,0.5096845005199283,0.1375000029802322,79.03250122070312,1.764162395192799
25786,Zaragoza,2018-02,1.2818513753096483,0.1149999946355819,184.5874938964844,6.655005893548663
25789,Las Palmas,2018-02,3.7889443131274367,0.1700000017881393,120.72250366210938,10.232761116605111
25790,Santa Cruz de Tenerife,2018-02,2.794414957927491,-0.0700000002980232,90.95999908447266,7.478494733063449
25791,Cantabria,2018-02,1.8047924234750048,0.2000000029802322,137.08749389648438,5.270350471966645
