Codigo,Nombre,Consumo eléctrico,Total
04049,Garrucha,Viviendas con consumo entre 6.001 y 7.000 kwh,85
04049,Garrucha,Viviendas con consumo entre 7.001 y 8.000 kwh,50
04049,Garrucha,Viviendas con consumo entre 8.001 y 9.000 kwh,23
04049,Garrucha,Viviendas con consumo entre 9.001 y 10.000 kwh,13
04049,Garrucha,Viviendas con consumo mayor de 10.000 kwh,51
04050,Gérgal,Viviendas totales,1153
04050,Gérgal,Viviendas vacías,446
04050,Gérgal,Mediana consumo anual,1506
04050,Gérgal,Viviendas con bajo consumo,74
04050,Gérgal,Viviendas de uso esporádico,152
04050,Gérgal,Viviendas de uso esporádico (entre 251 y 500 kwh),97
04050,Gérgal,Viviendas de uso esporádico (entre 501 y 750 kwh),55
04050,Gérgal,Viviendas con consumo entre 751 y 1.000 kwh,57
04050,Gérgal,Viviendas con consumo entre 1.001 y 2.000 kwh,180
04050,Gérgal,Viviendas con consumo entre 2.001 y 3.000 kwh,92
04050,Gérgal,Viviendas con consumo entre 3.001 y 4.000 kwh,62
04050,Gérgal,Viviendas con consumo entre 4.001 y 5.000 kwh,36
04050,Gérgal,Viviendas con consumo entre 5.001 y 6.000 kwh,18
04050,Gérgal,Viviendas con consumo entre 6.001 y 7.000 kwh,10
04050,Gérgal,Viviendas con consumo entre 7.001 y 8.000 kwh,4
