SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity
ES_41051,41051,Huévar del Aljarafe,57.27421499,3294.0,1,1,0.017459863922615067,1.0,1,3.035822707953855,0,4,1,19,2.764839187762624,12.31253622456823,0,0.0,directo
ES_41053,41053,Lebrija,73.88851598,27727.0,8,8,0.1082712231243814,0.125,1,2.8852742813863745,0,5,8,14,3.001752831755335,9.431084708482981,0,0.0,directo
ES_41054,41054,Lora de Estepa,49.21008636,889.0,0,0,0.0,0.0,0,0.0,0,0,0,5,5.24773152955933,15.650975819370629,0,0.0,periferico
ES_41056,41056,"Luisiana, La",107.42912625,4614.0,0,0,0.0,0.0,0,0.0,0,0,0,0,16.099324385218505,16.099324385218505,0,0.0,aislado
ES_41058,41058,Mairena del Alcor,345.50471072,24161.0,1,1,0.002894316543227709,0.0,0,0.41389015355324693,0,1,1,5,3.7862237819928777,15.394246036394067,0,0.0,directo
ES_41059,41059,Mairena del Aljarafe,2715.93594303,47515.0,36,36,0.01325509907271121,0.2222222222222222,8,7.576554772177207,10,78,60,296,0.22514688509944053,12.723466637855122,4,0.1111111111111111,directo
ES_41060,41060,Marchena,51.00949002,19306.0,4,4,0.07841678084669469,0.25,1,2.071894747746814,0,0,4,4,6.791531029744824,6.794529207320164,1,0.25,directo
ES_41061,41061,Marinaleda,104.23008695,2586.0,0,0,0.0,0.0,0,0.0,0,0,0,1,5.853461608747735,17.336524848520785,0,0.0,periferico
ES_41062,41062,Martín de la Jara,53.63678291,2645.0,0,0,0.0,0.0,0,0.0,0,0,0,1,9.631268510025182,16.39323299102927,0,0.0,periferico
ES_41064,41064,Montellano,59.96984641,7000.0,0,0,0.0,0.0,0,0.0,0,0,0,1,12.730482391781658,12.730482391781658,0,0.0,periferico
ES_41066,41066,"Navas de la Concepción, Las",24.032529,1523.0,0,0,0.0,0.0,0,0.0,0,0,0,0,19.71422635293417,19.716999486586406,0,0.0,aislado
ES_41067,41067,Olivares,207.41653451,9458.0,3,3,0.01446364923166414,0.0,0,3.1719179530556145,0,0,8,21,5.485959262418449,16.581342832408502,1,0.3333333333333333,directo
ES_41068,41068,Osuna,29.40253853,17418.0,3,3,0.10203200641805263,0.3333333333333333,1,1.722356183258698,0,3,3,5,2.488744548726252,5.666680708208777,0,0.0,directo
