osm_id,source_type,name,lat,lon,tags
node/9178384510,node,,37.7620749,-3.7952292,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9178384511,node,,37.7609242,-3.7943108,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9178384512,node,Calle Juan Montilla 26,37.7610518,-3.7945726,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Calle Juan Montilla 26', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34306', 'shelter': 'no'}"
node/9178384513,node,,37.7605749,-3.7973545,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9178384514,node,,37.7606427,-3.7974313,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9238521696,node,,37.7626317,-3.7996896,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9238521697,node,,37.7641424,-3.7956733,"{'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9510516418,node,Carretera de Granada - Policía,37.7705601,-3.776149,"{'bus': 'yes', 'name': 'Carretera de Granada - Policía', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'stop_position', 'ref': '34273'}"
node/9510516419,node,Carretera de Granada - Renault,37.7733365,-3.7665519,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Carretera de Granada - Renault', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34274'}"
node/9510516420,node,Feria de Muestras Ifeja,37.7759524,-3.7589677,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Feria de Muestras Ifeja', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34458'}"
node/9510516421,node,Carretera Úbeda - Baeza - Puente Nuevo,37.7786538,-3.7467018,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Carretera Úbeda - Baeza - Puente Nuevo', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34271'}"
node/9510516422,node,Puente Nuevo (Viveros),37.7779569,-3.7425195,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Puente Nuevo (Viveros)', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34277'}"
node/9510516423,node,La Manseguilla subida,37.7822844,-3.7243599,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'La Manseguilla subida', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34495'}"
node/9510516424,node,La Manseguilla bajada,37.7822641,-3.7241154,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'La Manseguilla bajada', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34496'}"
node/9510516425,node,Industrial El Ángel,37.7817179,-3.7312721,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Industrial El Ángel', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34395', 'shelter': 'no'}"
node/9510516426,node,Carretera Úbeda-Baeza F. La Yuca,37.7783669,-3.7334552,"{'bench': 'yes', 'bus': 'yes', 'highway': 'bus_stop', 'name': 'Carretera Úbeda-Baeza F. La Yuca', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34340', 'shelter': 'yes'}"
node/9510516427,node,"Avenida de Granada, 35",37.7690826,-3.782963,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Avenida de Granada, 35', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34237'}"
node/9510928067,node,"Calle Ortega Nieto, 9",37.7952298,-3.7814305,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Calle Ortega Nieto, 9', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34136', 'shelter': 'no'}"
node/9511002197,node,Carretera Jabalcuz - CP Vandelvira,37.7586006,-3.7939324,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Carretera Jabalcuz - CP Vandelvira', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34282', 'shelter': 'no'}"
node/9511002198,node,Camino Fuente Peña - F num 18,37.7575676,-3.7926034,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Camino Fuente Peña - F num 18', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34387', 'shelter': 'yes'}"
