cod_prov,cod_muni,municipio,year,population
,,Abarca de Campos. Hombres. Total habitantes. Personas. ,2024,23.0
,,Abarca de Campos. Hombres. Total habitantes. Personas. ,2023,25.0
,,Abarca de Campos. Hombres. Total habitantes. Personas. ,2022,25.0
,,Abarca de Campos. Hombres. Total habitantes. Personas. ,2021,28.0
,,Abarca de Campos. Hombres. Total habitantes. Personas. ,2020,27.0
,,Abarca de Campos. Mujeres. Total habitantes. Personas. ,2024,15.0
,,Abarca de Campos. Mujeres. Total habitantes. Personas. ,2023,17.0
,,Abarca de Campos. Mujeres. Total habitantes. Personas. ,2022,18.0
,,Abarca de Campos. Mujeres. Total habitantes. Personas. ,2021,17.0
,,Abarca de Campos. Mujeres. Total habitantes. Personas. ,2020,18.0
,,Abárzuza/Abartzuza. Total. Total habitantes. Personas. ,2024,518.0
,,Abárzuza/Abartzuza. Total. Total habitantes. Personas. ,2023,514.0
,,Abárzuza/Abartzuza. Total. Total habitantes. Personas. ,2022,527.0
,,Abárzuza/Abartzuza. Total. Total habitantes. Personas. ,2021,538.0
,,Abárzuza/Abartzuza. Total. Total habitantes. Personas. ,2020,544.0
,,Abárzuza/Abartzuza. Hombres. Total habitantes. Personas. ,2024,258.0
,,Abárzuza/Abartzuza. Hombres. Total habitantes. Personas. ,2023,253.0
,,Abárzuza/Abartzuza. Hombres. Total habitantes. Personas. ,2022,264.0
,,Abárzuza/Abartzuza. Hombres. Total habitantes. Personas. ,2021,270.0
,,Abárzuza/Abartzuza. Hombres. Total habitantes. Personas. ,2020,277.0
,,Abárzuza/Abartzuza. Mujeres. Total habitantes. Personas. ,2024,260.0
,,Abárzuza/Abartzuza. Mujeres. Total habitantes. Personas. ,2023,261.0
,,Abárzuza/Abartzuza. Mujeres. Total habitantes. Personas. ,2022,263.0
,,Abárzuza/Abartzuza. Mujeres. Total habitantes. Personas. ,2021,268.0
,,Abárzuza/Abartzuza. Mujeres. Total habitantes. Personas. ,2020,267.0
,,Abaurregaina/Abaurrea Alta. Total. Total habitantes. Personas. ,2024,119.0
,,Abaurregaina/Abaurrea Alta. Total. Total habitantes. Personas. ,2023,115.0
,,Abaurregaina/Abaurrea Alta. Total. Total habitantes. Personas. ,2022,120.0
,,Abaurregaina/Abaurrea Alta. Total. Total habitantes. Personas. ,2021,128.0
,,Abaurregaina/Abaurrea Alta. Total. Total habitantes. Personas. ,2020,127.0
,,Abaurregaina/Abaurrea Alta. Hombres. Total habitantes. Personas. ,2024,69.0
,,Abaurregaina/Abaurrea Alta. Hombres. Total habitantes. Personas. ,2023,70.0
,,Abaurregaina/Abaurrea Alta. Hombres. Total habitantes. Personas. ,2022,75.0
,,Abaurregaina/Abaurrea Alta. Hombres. Total habitantes. Personas. ,2021,80.0
,,Abaurregaina/Abaurrea Alta. Hombres. Total habitantes. Personas. ,2020,80.0
,,Abaurregaina/Abaurrea Alta. Mujeres. Total habitantes. Personas. ,2024,50.0
,,Abaurregaina/Abaurrea Alta. Mujeres. Total habitantes. Personas. ,2023,45.0
,,Abaurregaina/Abaurrea Alta. Mujeres. Total habitantes. Personas. ,2022,45.0
,,Abaurregaina/Abaurrea Alta. Mujeres. Total habitantes. Personas. ,2021,48.0
,,Abaurregaina/Abaurrea Alta. Mujeres. Total habitantes. Personas. ,2020,47.0
,,Abaurrepea/Abaurrea Baja. Total. Total habitantes. Personas. ,2024,29.0
,,Abaurrepea/Abaurrea Baja. Total. Total habitantes. Personas. ,2023,29.0
,,Abaurrepea/Abaurrea Baja. Total. Total habitantes. Personas. ,2022,31.0
,,Abaurrepea/Abaurrea Baja. Total. Total habitantes. Personas. ,2021,29.0
,,Abaurrepea/Abaurrea Baja. Total. Total habitantes. Personas. ,2020,31.0
