PROV_NAME,SOG_ID,LAU_ID,LAU_NAME,AREA_KM2,POP_2023,stations_count,stations_unique,stations_density_km2,stations_with_operator_share,operator_count,stations_per_10k_pop,stations_within_1km_count,stations_within_5km_count,stations_in_muni_plus_1km_count,stations_in_muni_plus_5km_count,min_distance_km_to_station,mean_distance_km_to_station,accessible_count,accessible_share,category_connectivity,INE_PROV_CODE
Zaragoza,ES_50006,50006,Ainzón,26.0880,1056.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,1,9.3800,9.3800,0,0.0000,periferico,50
Burgos,ES_09411,9411,Valle de Oca,4.2890,165.0000,1,1,0.2330,0.0000,0,60.6060,0,1,1,7,2.3600,11.7780,0,0.0000,directo,9
Burgos,ES_09417,9417,Vallejera,2.2350,41.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,36.2720,0.0000,0,0.0000,aislado,9
Burgos,ES_09418,9418,Valles de Palenzuela,3.8300,80.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,46.1200,0.0000,0,0.0000,aislado,9
Valencia,ES_46058,46058,Benifairó de Les Valls,533.0640,2315.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,3,6.7020,14.8470,0,0.0000,periferico,46
Valencia,ES_46072,46072,Bocairent,42.7760,4147.0000,2,2,0.0470,1.0000,2,4.8230,0,2,2,54,3.1550,11.1910,0,0.0000,directo,46
Valencia,ES_46082,46082,Canet D'En Berenguer,1888.1580,7252.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,10.4120,17.1560,0,0.0000,aislado,46
Zaragoza,ES_50175,50175,Morata de Jalón,23.1860,1062.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,57.1710,0.0000,0,0.0000,aislado,50
Zaragoza,ES_50187,50187,Nigüella,1.9710,60.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,41.3950,0.0000,0,0.0000,aislado,50
Zaragoza,ES_50197,50197,Orés,1.7870,91.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,19.0880,19.0880,0,0.0000,aislado,50
Segovia,ES_40138,40138,Nava de la Asunción,33.0790,2751.0000,1,1,0.0300,0.0000,0,3.6350,0,1,1,5,1.6800,12.6690,0,0.0000,directo,40
Madrid,ES_28106,28106,Parla,5322.0760,132842.0000,233,233,0.0440,0.0040,1,17.5400,67,260,252,748,0.1430,13.5470,33,0.1420,directo,28
Madrid,ES_28135,28135,Santa María de la Alameda,20.0090,1515.0000,43,43,2.1490,0.0230,1,283.8280,0,23,47,242,1.4360,12.7570,0,0.0000,directo,28
Madrid,ES_28148,28148,Torrejón de Ardoz,4269.4730,138197.0000,0,0,0.0000,0.0000,0,0.0000,0,2,5,157,4.7680,15.9070,0,0.0000,funcional,28
Madrid,ES_28160,28160,Valdemorillo,145.2320,13638.0000,83,83,0.5720,0.0000,0,60.8590,15,53,107,419,0.4040,14.8940,0,0.0000,directo,28
Madrid,ES_28172,28172,Villalbilla,487.6900,16800.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,19.1590,19.5270,0,0.0000,aislado,28
Madrid,ES_28182,28182,Villavieja del Lozoya,13.6510,317.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,40.4110,0.0000,0,0.0000,aislado,28
Málaga,ES_29008,29008,Alhaurín el Grande,367.9930,26902.0000,12,12,0.0330,0.0000,0,4.4610,4,10,12,44,0.4840,16.1480,0,0.0000,directo,29
Teruel,ES_44130,44130,Jorcas,1.6420,43.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,18.7500,18.9930,0,0.0000,aislado,44
Teruel,ES_44143,44143,Manzanera,3.1960,539.0000,2,2,0.6260,0.0000,0,37.1060,0,2,2,3,1.3900,15.2830,0,0.0000,directo,44
Zaragoza,ES_50203,50203,Pastriz,79.9630,1320.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,29.1320,0.0000,0,0.0000,aislado,50
Zaragoza,ES_50213,50213,Plenas,2.7920,106.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,49.9870,0.0000,0,0.0000,aislado,50
Zaragoza,ES_50223,50223,Remolinos,54.5140,1009.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,11,5.7230,10.8770,0,0.0000,periferico,50
Zaragoza,ES_50249,50249,Tabuenca,3.6750,315.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,22.6880,0.0000,0,0.0000,aislado,50
Zaragoza,ES_50259,50259,Torrehermosa,3.5070,74.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,77.0480,0.0000,0,0.0000,aislado,50
Zaragoza,ES_50268,50268,Undués de Lerda,1.2100,52.0000,0,0,0.0000,0.0000,0,0.0000,0,0,2,8,6.9640,12.5010,0,0.0000,funcional,50
Guadalajara,ES_19231,19231,Rebollosa de Jadraque,1.3070,10.0000,0,0,0.0000,0.0000,0,0.0000,0,0,0,0,79.5060,0.0000,0,0.0000,aislado,19
